element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
O,5,,275.713,,,5.48e+07,C+,2,2,,
O,5,,275.736,,,1.55e+06,C+,3,2,,
O,4,,275.788,,,1.61e+07,B,3/2,3/2,,
O,4,,275.822,,,1.45e+08,B,5/2,3/2,,
O,4,,275.905,,,1.61e+08,B,3/2,1/2,,
O,5,,276.969,,,7.88e+07,B,2,1,,
O,3,,277.196,,,1.91e+07,B,1,2,,
O,4,,277.365,,,5.08e+05,B,3/2,3/2,,
O,4,,277.442,,,5.08e+06,B,3/2,1/2,,
O,5,278.101,278.101,,1000,1.40e+08,B,1,2,,
O,4,,278.122,,,1.03e+07,B,1/2,1/2,,
O,2,278.3026,278.3029,,6,2.55e+06,D,3/2,3/2,,
O,4,,278.691,,,1.02e+06,B,1/2,3/2,,
O,5,278.699,278.699,,920,1.39e+08,B,1,1,,
O,4,,278.722,,,1.02e+07,B,3/2,1/2,,
O,5,278.985,278.985,,775,1.38e+08,B,1,0,,
O,2,278.9934,278.9933,,2,1.01e+06,D,3/2,1/2,,
O,4,,279.294,,,6.50e+06,B,3/2,3/2,,
O,4,,279.346,,,4.48e+06,B,5/2,3/2,,
O,3,,279.4139,,,1.82e+07,C+,1,0,,
O,4,,279.521,,,2.26e+07,B,1/2,1/2,,
O,4,,279.599,,,4.53e+07,B,3/2,1/2,,
O,2,,279.6140,,,5.03e+05,D,1/2,3/2,,
O,2,279.6644,279.6655,,3*,,,3/2,3/2,,
O,2,279.6644,279.6655,,3*,,,3/2,1/2,,
O,3,,279.8931,,,4.52e+06,C+,1,1,,
O,1,,279.985,,,4.85e+05,C+,1,1,,
O,1,,279.989,,,8.08e+05,C+,2,1,,
O,1,,279.990,,,1.61e+05,C,0,1,,
O,4,,280.139,,,2.28e+06,B,5/2,7/2,,
O,4,,280.180,,,4.02e+05,B,3/2,5/2,,
O,4,,280.289,,,1.52e+05,C+,5/2,5/2,,
O,2,280.3101,280.3109,,1,2.00e+06,D,1/2,1/2,,
O,4,,280.357,,,1.26e+07,B,5/2,3/2,,
O,4,,280.517,,,2.12e+06,B,3/2,5/2,,
O,4,,280.543,,,1.17e+07,B,3/2,3/2,,
O,1,,280.553,,,1.77e+05,C,1,1,,
O,1,,280.557,,,1.18e+04,D,2,1,,
O,1,,280.558,,,2.36e+05,C,0,1,,
O,4,,280.587,,,2.90e+07,B,1/2,3/2,,
O,1,,280.602,,,3.22e+05,C,1,2,,
O,1,,280.607,,,1.07e+05,C,2,2,,
O,1,,280.690,,,4.35e+05,C,2,3,,
O,3,,280.7900,,,1.79e+05,C,1,2,,
O,2,280.8729,280.8728,,8,4.48e+06,D,3/2,5/2,,
O,3,,280.9659,,,1.34e+07,C+,2,1,,
O,4,,281.040,,,4.64e+06,B,3/2,1/2,,
O,4,,281.250,,,3.58e+06,B,5/2,5/2,,
O,4,,281.653,,,5.74e+07,B,3/2,3/2,,
