element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Type,
N,3,,,336.098,,,2.44e+07,B,,
N,3,,,336.580,,,1.52e+08,B,,
N,3,336.734,,336.736,,120,1.27e+08,B,,
N,3,,,337.407,,,8.13e+07,B,,
N,2,,,340.8127,,,1.91e+07,B+,,
N,2,343.715,,343.7145,,360,1.91e+08,B+,,
N,5,,,343.996,,,2.40e+07,B,,
N,5,,,344.198,,,2.00e+07,B,,
N,5,,,344.268,,,3.99e+06,B,,
N,4,,,344.361,,,3.46e+07,B,,
N,3,,,344.362,,,2.28e+05,B,,
N,3,,,344.459,,,9.10e+05,B,,
N,4,,,344.522,,,4.60e+07,B,,
N,3,,,345.004,,,1.13e+06,B,,
N,3,,,345.101,,,4.52e+05,B,,
N,2,,,345.1277,,,1.14e+05,D,,
N,4,,,345.465,,,3.42e+07,B,,
N,4,,,346.136,,,1.36e+08,B,,
N,4,346.337,,346.336,,90,1.02e+08,B,,
N,1,,,346.64971,,,6.5e-03,D,M1,
N,1,,,346.65435,,,2.6e-03,D,M1,
N,4,,,347.453,,,5.61e+07,B,,
N,4,347.871,,347.872,,570,1.06e+08,B,,
N,4,348.299,,348.300,,500,1.06e+08,B,,
N,4,348.496,,348.493,,400,1.06e+08,B,,
N,5,,,351.976,,,9.61e+05,B,,
N,5,,,351.998,,,8.64e+06,B,,
N,5,,,352.001,,,9.60e+06,B,,
N,5,,,352.268,,,1.04e+07,B,,
N,5,,,352.341,,,2.08e+07,B,,
N,2,,,359.3597,,,1.21e+07,B,,
N,2,,,360.9097,,,1.41e+07,B,,
N,2,,,361.5864,,,1.53e+07,B,,
N,2,,,366.3829,,,7.77e+04,D,,
N,2,,,366.8572,,,1.06e+05,D,,
N,3,,,367.605,,,9.79e+04,C+,,
N,3,,,367.605,,,4.66e+03,D,,
N,2,,,367.6443,,,5.15e+04,D,,
N,4,,,368.994,,,9.10e+06,B,,
N,3,,,369.110,,,9.21e+04,B,,
N,4,,,369.414,,,2.27e+06,B,,
N,4,,,370.113,,,9.02e+04,B,,
N,4,,,370.739,,,6.73e+06,B,,
N,4,,,371.443,,,1.34e+06,B,,
N,4,,,373.543,,,7.37e+06,B,,
N,3,,,374.595,,,1.90e+07,B,,
N,4,374.754,,374.754,,90,9.92e+07,B,,
N,3,,,375.263,,,6.67e+06,B,,
N,3,375.467,,375.469,,90,3.78e+07,B,,
N,3,,,375.757,,,6.64e+05,B,,
N,3,,,375.765,,,6.64e+06,B,,
N,3,,,376.260,,,4.24e+06,B,,
N,3,,,377.036,,,2.63e+05,B,,
