element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
Fe,3,203.8915,0.0005,203.89172,0.00021,30000,6.e+07,D,2,1,,
Fe,3,,,203.8940,0.0003,,1.2e+01,C,3,4,E2,
Fe,3,,,203.9093,0.0003,,8.1e+00,D+,3,3,E2,
Fe,2,203.9106,0.0005,203.910401,0.000011,700,,,5/2,5/2,,
Fe,2,203.94162,0.00004,203.941645,0.000010,800,,,9/2,9/2,,
Fe,3,203.9520,0.0005,203.9522,0.0003,180000,4.44e+08,B,5,6,,
Fe,2,203.95223,0.00012,203.952257,0.000010,300,4.4e+06,D,3/2,3/2,,
Fe,2,203.9672,0.0005,203.967081,0.000017,1300,3.1e+06,D,3/2,3/2,,
Fe,2,203.96989,0.00007,203.969891,0.000010,600,7.e+06,D,5/2,3/2,,
Fe,1,203.9984,0.00025,203.998310,0.000010,0,,,3,4,,
Fe,2,204.036310,0.000019,204.036305,0.000017,1200,,,5/2,5/2,,
Fe,3,204.0406,0.0005,204.04114,0.00021,40000,1.2e+08,D+,1,1,,
Fe,3,204.0550,0.0005,204.05476,0.00021,54000,1.7e+08,D,4,5,,
Fe,2,204.069022,0.000011,204.068930,0.000017,70000bl(Fe II)*,,,5/2,3/2,,
Fe,2,204.069022,0.000011,204.068999,0.000011,70000bl(Fe II)*,4.6e+07,D+,9/2,9/2,,
Fe,3,204.0785,0.0005,204.0773,0.0003,40000,1.1e+08,D+,0,1,,
Fe,2,204.11922,0.00012,204.119180,0.000017,190,,,3/2,3/2,,
Fe,3,204.1320,0.0005,204.13182,0.00021,1500,,,3,2,,
Fe,2,204.1537,0.0005,204.154622,0.000011,320bl,,,3/2,3/2,,
Fe,2,204.1767,0.0005,204.177266,0.000013,130d?,,,9/2,9/2,,
Fe,3,204.2241,0.0005,204.22466,0.00021,30000,,,1,2,,
Fe,2,204.2254,0.0005,204.224348,0.000010,190d,bl(Fe III)?*,,,9/2,7/2,,
Fe,2,204.2254,0.0005,204.224774,0.000010,190d,bl(Fe III)?*,,,7/2,5/2,,
Fe,9,204.235,0.002,204.24,0.04,,,,2,2,M1,
Fe,3,204.2936,0.0005,204.2944,0.0003,2700,3.0e+06,D,1,2,,
Fe,2,204.3246,0.0005,204.323919,0.000010,190d,bl(Fe II)?*,,,9/2,9/2,,
Fe,2,204.3246,0.0005,204.325193,0.000010,190d,bl(Fe II)?*,,,7/2,7/2,,
Fe,2,204.33233,0.00007,204.332199,0.000011,3000,,,1/2,1/2,,
Fe,3,204.3326,0.0010,204.33300,0.00021,16000p,,,4,3,,
Fe,3,204.3484,0.0005,204.34879,0.00021,40000,9.e+07,D+,3,3,,
Fe,1,204.3491,0.0003,204.348949,0.000010,(0)bl?,,,1,2,,
Fe,2,204.37825,0.00004,204.378230,0.000013,9000,1.5e+07,D+,3/2,3/2,,
Fe,2,204.4008,0.0005,204.39976,0.00010,330,,,5/2,7/2,,
Fe,3,204.4041,0.0005,204.4041,0.0003,40000,6.e+07,D,0,1,,
Fe,2,204.41226,0.00013,204.412174,0.000017,500,4.3e+06,D,3/2,3/2,,
Fe,3,204.4313,0.0005,204.43137,0.00021,40000,1.3e+08,D+,2,2,,
Fe,2,204.4322,0.0005,204.43148,0.00010,400,,,7/2,7/2,,
Fe,3,204.4550,0.0005,204.45496,0.00017,22000,2.7e+07,D,3,3,,
Fe,3,204.4671,0.0005,204.46792,0.00021,16000,,,3,2,,
Fe,1,204.4936,0.0003,204.493773,0.000014,0d?,,,2,3,,
Fe,3,204.4984,0.0005,204.4977,0.0003,54000,1.1e+08,D+,3,2,,
Fe,2,204.4985,0.0005,204.499180,0.000010,1100bl(Fe III),,,11/2,9/2,,
Fe,3,,,204.5657,0.0004,,1.6e+01,C,2,3,E2,
Fe,2,204.56621,0.00007,204.566248,0.000010,900,4.0e+06,D,5/2,5/2,,
Fe,3,204.5838,0.0005,204.58410,0.00021,97000,2.5e+08,C+,4,4,,
Fe,2,204.5848,0.0005,204.585479,0.000013,400bl(Fe III),,,7/2,7/2,,
Fe,3,204.5953,0.0005,204.59591,0.00021,2700,,,4,5,,
Fe,2,204.5973,0.0005,204.59614,0.00003,310,,,11/2,11/2,,
Fe,3,204.6070,0.0005,204.60721,0.00021,16000,,,2,3,,
Fe,2,204.64122,0.00005,204.641258,0.000021,500,,,1/2,3/2,,
Fe,3,204.6456,0.0005,204.64575,0.00021,1100,,,3,4,,
Fe,3,204.6761,0.0005,204.67681,0.00017,22000,,,3,3,,
Fe,3,204.6834,0.0005,204.6833,0.0003,16000,,,6,5,,
Fe,3,,,204.6913,0.0005,,3.9e-01,C,2,1,M1+E2,
Fe,3,204.7131,0.0010,204.71307,0.00021,29000*,1.7e+07,D,5,4,,
Fe,3,204.7131,0.0010,204.7148,0.0003,29000*,6.e+06,D,6,6,,
Fe,2,204.72035,0.00011,204.720466,0.000017,1100,2.4e+07,D+,3/2,3/2,,
Fe,1,204.7248,0.0003,204.724676,0.000014,1,,,4,3,,
Fe,1,204.7402,0.0003,204.740372,0.000007,0d?,,,3,2,,
Fe,2,204.77152,0.00013,204.771434,0.000013,3100,5.6e+06,D+,3/2,5/2,,
Fe,2,204.84901,0.00008,204.848982,0.000011,5000,4.8e+06,D+,9/2,7/2,,
Fe,2,204.87132,0.00004,204.871284,0.000017,500,,,3/2,5/2,,
Fe,2,204.90508,0.00007,204.904904,0.000010,900,2.7e+06,D+,11/2,13/2,,
Fe,3,204.9395,0.0005,204.93980,0.00021,71000,1.2e+08,D+,1,2,,
Fe,2,204.9532,0.0005,204.953109,0.000010,1300,,,5/2,7/2,,
Fe,2,204.9774,0.0005,204.978100,0.000010,800d?,,,5/2,3/2,,
Fe,3,205.0744,0.0005,205.07465,0.00021,71000,,,4,3,,
Fe,2,205.103360,0.000011,205.103385,0.000011,60000,3.7e+07,D+,7/2,7/2,,
Fe,3,205.1846,0.0005,205.18524,0.00017,16000,,,2,3,,
