element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
Ni,7,,,305.47,,,1.5e-01,E,3,2,M1,
Ni,1,305.764,,305.76388,,1900,1.0e+08,D,1,1,,
Ni,1,306.462,,306.46186,,500,1.1e+07,C+,2,3,,
Ni,2,,,307.3803,,,3.5e-01,E,5/2,7/2,E2,
Ni,2,,,307.6074,,,4.6e+00,E,5/2,9/2,E2,
Ni,1,308.076,,308.07525,,420,8.7e+06,C,1,2,,
Ni,1,309.712,,309.71168,,260,3.3e+06,C+,3,2,,
Ni,1,309.912,,309.91100,,210,2.1e+06,C+,3,4,,
Ni,1,310.155,,310.15569,,2600,6.3e+07,C+,2,3,,
Ni,1,310.188,,310.18777,,1300,4.9e+07,C,2,3,,
Ni,1,310.547,,310.54603,,220,7.1e+06,D+,2,1,,
Ni,7,,,310.62,,,3.2e+00,E,4,4,M1,
Ni,1,,,310.77143,,,1.3e+05,C+,3,3,,
Ni,1,311.412,,311.41244,,270,5.8e+06,C+,2,1,,
Ni,1,,,312.93054,,,5.3e+05,D+,2,2,,
Ni,7,,,313.14,,,2.6e-01,E,4,3,M1,
Ni,1,313.411,,313.41039,,2900,7.3e+07,C+,1,2,,
Ni,7,,,314.02,,,5.1e-01,E,0,1,M1,
Ni,27,,,319.8,1.6,,1.8e+07,E,1,1,,
Ni,1,,,314.51121,,,2.1e+04,D+,4,3,,
Ni,1,314.572,,314.57051,,55,8.0e+05,C+,3,3,,
Ni,1,,,315.95206,,,3.0e+04,C+,3,4,,
Ni,1,,,316.55071,,,4.3e+04,D+,3,3,,
Ni,12,316.70,,316.7,0.7,,,,7/2,9/2,M1,
Ni,14,,,316.788,0.007,,3.4e-01,D,5/2,1/2,E2,
Ni,7,,,316.80,,,8.e-04,E,1,1,M1,
Ni,1,318.174,,,,55,,,,,,
Ni,1,318.437,,318.43666,,100,7.1e+05,C+,2,2,,
Ni,1,319.557,,319.55707,,55,5.8e+05,C+,2,3,,
Ni,1,319.711,,319.71138,,150,2.9e+06,C+,1,1,,
Ni,1,,,320.04224,,,2.8e+05,C,3,2,,
Ni,1,320.214,,,,55,,,,,,
Ni,1,321.406,,,,180,,,,,,
Ni,1,321.783,,,,180,,,,,,
