element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Type,
C,2,282.070,0.015,282.0893,0.0006,26w*,,,,
C,2,282.154,0.015,282.1526,0.0006,26w*,3.8e+06,C,,
C,2,282.154,0.015,282.1552,0.0014,26w*,,,,
C,2,282.2812,0.0007,282.2812,0.0007,34,6.7e+06,C,,
C,2,283.66988,0.00013,283.66987,0.00011,1400,3.30e+07,B+,,
C,2,283.7596,0.0003,283.75962,0.00012,930,3.30e+07,B+,,
C,3,,,284.4117,,,1.22e+03,B,,
C,3,,,284.4117,,,5.34e-04,B,M2,
C,3,,,284.7974,,,1.38e+01,B,,
C,3,,,284.7974,,,2.94e-04,B,M2,
C,3,,,284.9050,,,1.95e+07,B,,
C,3,,,285.0305,,,2.67e+02,B,,
C,3,,,285.7021,,,3.77e+06,B,,
C,2,285.800,0.004,285.7963,0.0025,26h,,,,
C,2,285.800,0.004,285.7988,0.0025,26h,,,,
C,2,,,285.9856,0.0015,,7.e+06,E,,
C,2,286.1060,0.0009,286.1051,0.0006,33h,1.6e+07,C,,
C,3,,,286.3712,,,1.05e+08,B,,
C,3,,,287.4247,,,1.19e+07,B,,
C,3,,,287.4445,,,1.19e+07,B,,
C,3,,,287.4718,,,1.19e+07,B,,
C,2,288.481,0.005,288.479,0.009,64w*,5.8e+07,C,,
C,2,288.481,0.005,288.4874,0.0015,64w*,4.2e+07,C,,
C,2,288.481,0.005,288.4884,0.0007,64w*,1.8e+07,C,,
C,2,,,288.525,0.009,,2.1e+07,C,,
C,2,288.547,0.005,288.5413,0.0007,110w*,7.82e+07,C+,,
C,2,288.547,0.005,288.5499,0.0007,110w*,1.9e+07,C,,
C,2,288.547,0.005,288.5547,0.0007,110w*,5.06e+07,C+,,
C,2,,,288.5574,0.0015,,1.3e+07,C,,
C,2,,,288.5727,0.0007,,3.2e+06,E,,
C,2,,,288.595,0.009,,1.4e+06,E,,
C,2,,,288.6200,0.0007,,5.0e+06,C,,
C,2,,,288.6390,0.0007,,6.3e+06,C,,
C,2,,,288.6417,0.0015,,4.2e+05,E,,
C,1,290.230,0.008,290.21958,0.00003,,4.3e+05,D,,
C,1,290.326,0.008,290.32403,0.00003,,1.3e+06,D,,
C,2,,,290.4629,0.0005,,4.25e+06,B,,
C,1,290.495,0.008,290.49677,0.00003,,2.2e+06,D,,
C,2,290.5715,0.0007,290.5720,0.0005,26,1.07e+07,B,,
C,2,290.6011,0.0007,290.6009,0.0005,26,2.13e+07,B,,
C,3,,,290.674,,,1.30e+07,B,,
C,2,290.7090,0.0020,290.7101,0.0005,25,3.42e+06,B,,
C,2,290.896,0.005,290.8834,0.0005,37w*,7.66e+06,B,,
C,2,290.896,0.005,290.8989,0.0005,37w*,1.15e+07,B,,
C,2,291.0729,0.0007,291.0724,0.0005,53,1.78e+07,B,,
C,4,,,293.491,,,1.81e+06,B+,,
C,4,,,293.506,,,1.62e+07,B+,,
C,4,,,293.512,,,1.81e+07,B+,,
C,3,,,294.2537,,,1.85e+04,C,,
C,3,,,294.2628,,,4.61e+05,B,,
C,3,,,294.2697,,,1.85e+06,B,,
C,3,,,294.4659,,,2.76e+05,B,,
C,3,,,294.4750,,,1.38e+06,B,,
C,3,,,294.8043,,,1.54e+06,B,,
C,4,,,295.333,,,2.58e+07,A,,
C,4,,,295.395,,,5.17e+07,A,,
C,5,,,296.23,0.07,,5.541e+07,AA,,
C,1,296.48460,0.00020,296.48471,0.00014,6900000r,9.e+00,D,,
C,2,296.6187,0.0007,296.6186,0.0004,40,2.66e+07,B,,
C,2,296.6655,0.0007,296.6655,0.0007,41,5.27e+07,B,,
C,2,296.6871,0.0007,296.6870,0.0004,65,4.44e+07,B,,
C,1,296.72240,0.00020,296.72229,0.00014,13000000r,2.1e+01,D,,
C,2,296.7629,0.0007,296.7624,0.0004,41,3.39e+07,B,,
C,2,296.7868,0.0007,296.7860,0.0005,110,6.34e+07,B,,
C,2,,,296.8094,0.0007,,1.06e+07,B,,
C,2,296.8836,0.0007,296.8837,0.0004,35,1.90e+07,B,,
C,2,296.9590,0.0020,296.9592,0.0004,19,3.17e+06,B,,
C,2,,,297.4102,0.0014,,4.0e+04,D+,,
C,2,,,297.4163,0.0014,,3.6e+03,C,,
